round,command,damage,player_hp,boss_hp,winner,note

1,fight,17,10,33,,hit+counter
2,poison,2,8,33,,1 turns left
2,defend,0,8,33,,cleared 1 poison
3,fight,0,8,33,,miss
4,fight,12,8,21,,hit
5,fight,8,8,13,,hit
6,fight,0,8,13,,miss
7,fight,16,8,0,,hit
8,end,0,8,0,player,

1,fight,8,20,42,,hit
2,fight,0,20,42,,miss
3,fight,0,20,42,,miss
4,fight,0,20,42,,miss
5,fight,21,12,21,,hit+counter
6,poison,2,10,21,,1 turns left
6,defend,0,10,21,,cleared 1 poison
7,fight,0,10,21,,miss
8,fight,0,10,21,,miss
9,fight,19,0,2,,hit+counter
10,end,0,0,2,Dragon,

1,fight,16,8,34,,hit+counter
2,poison,2,6,34,,1 turns left
2,defend,0,6,34,,cleared 1 poison
3,fight,0,6,34,,miss
4,fight,12,6,22,,hit
5,fight,0,6,22,,miss
6,fight,0,6,22,,miss
7,fight,0,6,22,,miss
8,fight,0,6,22,,miss
9,fight,19,0,3,,hit+counter
10,end,0,0,3,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,18,11,32,,hit+counter
4,poison,2,9,32,,1 turns left
4,defend,0,9,32,,cleared 1 poison
5,fight,6,9,26,,hit
6,fight,25,0,1,,hit+counter
7,end,0,0,1,Dragon,

1,fight,6,20,44,,hit
2,fight,0,20,44,,miss
3,fight,0,20,44,,miss
4,fight,0,20,44,,miss
5,fight,18,10,26,,hit+counter
6,poison,2,8,26,,1 turns left
6,defend,0,8,26,,cleared 1 poison
7,fight,23,0,3,,hit+counter
8,end,0,0,3,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,21,12,29,,hit+counter
4,poison,2,10,29,,1 turns left
4,defend,0,10,29,,cleared 1 poison
5,fight,0,10,29,,miss
6,fight,20,0,9,,hit+counter
7,end,0,0,9,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,22,9,28,,hit+counter
4,poison,2,7,28,,1 turns left
4,defend,0,7,28,,cleared 1 poison
5,fight,0,7,28,,miss
6,fight,0,7,28,,miss
7,fight,0,7,28,,miss
8,fight,0,7,28,,miss
9,fight,15,0,13,,hit+counter
10,end,0,0,13,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,0,20,50,,miss
5,fight,8,20,42,,hit
6,fight,0,20,42,,miss
7,fight,0,20,42,,miss
8,fight,22,10,20,,hit+counter
9,poison,2,8,20,,1 turns left
9,defend,0,8,20,,cleared 1 poison
10,fight,0,8,20,,miss
11,fight,23,8,0,,hit
12,end,0,8,0,player,

1,fight,0,20,50,,miss
2,fight,6,20,44,,hit
3,fight,0,20,44,,miss
4,fight,0,20,44,,miss
5,fight,0,20,44,,miss
6,fight,0,20,44,,miss
7,fight,0,20,44,,miss
8,fight,0,20,44,,miss
9,fight,19,8,25,,hit+counter
10,poison,2,6,25,,1 turns left
10,defend,0,6,25,,cleared 1 poison
11,fight,0,6,25,,miss
12,fight,10,6,15,,hit
13,fight,14,0,1,,hit+counter
14,end,0,0,1,Dragon,

1,fight,0,20,50,,miss
2,fight,5,20,45,,hit
3,fight,15,8,30,,hit+counter
4,fight,10,8,20,,hit
5,fight,15,0,5,,hit+counter
6,end,0,0,5,Dragon,

1,fight,17,9,33,,hit+counter
2,poison,2,7,33,,1 turns left
2,defend,0,7,33,,cleared 1 poison
3,fight,0,7,33,,miss
4,fight,7,7,26,,hit
5,fight,0,7,26,,miss
6,fight,7,7,19,,hit
7,fight,2,7,17,,hit
8,fight,8,7,9,,hit
9,fight,20,7,0,,hit
10,end,0,7,0,player,

1,fight,18,9,32,,hit+counter
2,poison,2,7,32,,1 turns left
2,defend,0,7,32,,cleared 1 poison
3,fight,16,0,16,,hit+counter
4,end,0,0,16,Dragon,

1,fight,0,20,50,,miss
2,fight,18,9,32,,hit+counter
3,poison,2,7,32,,1 turns left
3,defend,0,7,32,,cleared 1 poison
4,fight,13,0,19,,hit+counter
5,end,0,0,19,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,2,20,48,,hit
5,fight,0,20,48,,miss
6,fight,15,12,33,,hit+counter
7,poison,2,10,33,,1 turns left
7,defend,0,10,33,,cleared 1 poison
8,fight,0,10,33,,miss
9,fight,0,10,33,,miss
10,fight,0,10,33,,miss
11,fight,20,0,13,,hit+counter
12,end,0,0,13,Dragon,

1,fight,7,20,43,,hit
2,fight,20,11,23,,hit+counter
3,fight,10,11,13,,hit
4,fight,0,11,13,,miss
5,fight,11,11,2,,hit
6,fight,6,11,0,,hit
7,end,0,11,0,player,

1,fight,3,20,47,,hit
2,fight,1,20,46,,hit
3,fight,20,9,26,,hit+counter
4,poison,2,7,26,,1 turns left
4,defend,0,7,26,,cleared 1 poison
5,fight,0,7,26,,miss
6,fight,9,7,17,,hit
7,fight,16,0,1,,hit+counter
8,end,0,0,1,Dragon,

1,fight,0,20,50,,miss
2,fight,2,20,48,,hit
3,fight,16,10,32,,hit+counter
4,poison,2,8,32,,1 turns left
4,defend,0,8,32,,cleared 1 poison
5,fight,9,8,23,,hit
6,fight,10,8,13,,hit
7,fight,0,8,13,,miss
8,fight,0,8,13,,miss
9,fight,11,8,2,,hit
10,fight,2,8,0,,hit
11,end,0,8,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,4,20,46,,hit
5,fight,11,20,35,,hit
6,fight,13,10,22,,hit+counter
7,poison,2,8,22,,1 turns left
7,defend,0,8,22,,cleared 1 poison
8,fight,1,8,21,,hit
9,fight,15,0,6,,hit+counter
10,end,0,0,6,Dragon,

1,fight,17,13,33,,hit+counter
2,poison,2,11,33,,1 turns left
2,defend,0,11,33,,cleared 1 poison
3,fight,7,11,26,,hit
4,fight,12,11,14,,hit
5,fight,2,11,12,,hit
6,fight,18,11,0,,hit
7,end,0,11,0,player,

1,fight,8,20,42,,hit
2,fight,2,20,40,,hit
3,fight,12,20,28,,hit
4,fight,0,20,28,,miss
5,fight,8,20,20,,hit
6,fight,0,20,20,,miss
7,fight,9,20,11,,hit
8,fight,0,20,11,,miss
9,fight,0,20,11,,miss
10,fight,0,20,11,,miss
11,fight,15,20,0,,hit
12,end,0,20,0,player,

1,fight,9,20,41,,hit
2,fight,3,20,38,,hit
3,fight,19,11,19,,hit+counter
4,poison,2,9,19,,1 turns left
4,defend,0,9,19,,cleared 1 poison
5,fight,0,9,19,,miss
6,fight,20,9,0,,hit
7,end,0,9,0,player,

1,fight,0,20,50,,miss
2,fight,2,20,48,,hit
3,fight,8,20,40,,hit
4,fight,0,20,40,,miss
5,fight,18,13,22,,hit+counter
6,poison,2,11,22,,1 turns left
6,defend,0,11,22,,cleared 1 poison
7,fight,10,11,12,,hit
8,fight,16,11,0,,hit
9,end,0,11,0,player,

1,fight,0,20,50,,miss
2,fight,1,20,49,,hit
3,fight,0,20,49,,miss
4,fight,1,20,48,,hit
5,fight,17,8,31,,hit+counter
6,fight,0,8,31,,miss
7,fight,0,8,31,,miss
8,fight,8,8,23,,hit
9,fight,0,8,23,,miss
10,fight,7,8,16,,hit
11,fight,20,8,0,,hit
12,end,0,8,0,player,

1,fight,6,20,44,,hit
2,fight,18,12,26,,hit+counter
3,fight,17,2,9,,hit+counter
4,fight,3,2,6,,hit
5,fight,7,2,0,,hit
6,end,0,2,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,10,20,40,,hit
4,fight,1,20,39,,hit
5,fight,11,20,28,,hit
6,fight,9,20,19,,hit
7,fight,19,20,0,,hit
8,end,0,20,0,player,

1,fight,13,13,37,,hit+counter
2,poison,2,11,37,,1 turns left
2,defend,0,11,37,,cleared 1 poison
3,fight,0,11,37,,miss
4,fight,5,11,32,,hit
5,fight,8,11,24,,hit
6,fight,0,11,24,,miss
7,fight,0,11,24,,miss
8,fight,4,11,20,,hit
9,fight,3,11,17,,hit
10,fight,12,11,5,,hit
11,fight,7,11,0,,hit
12,end,0,11,0,player,

1,fight,6,20,44,,hit
2,fight,0,20,44,,miss
3,fight,5,20,39,,hit
4,fight,0,20,39,,miss
5,fight,0,20,39,,miss
6,fight,15,11,24,,hit+counter
7,fight,4,11,20,,hit
8,fight,12,11,8,,hit
9,fight,0,11,8,,miss
10,fight,2,11,6,,hit
11,fight,0,11,6,,miss
12,fight,0,11,6,,miss
13,fight,0,11,6,,miss
14,fight,14,11,0,,hit
15,end,0,11,0,player,

1,fight,10,20,40,,hit
2,fight,19,9,21,,hit+counter
3,fight,0,9,21,,miss
4,fight,0,9,21,,miss
5,fight,19,0,2,,hit+counter
6,end,0,0,2,Dragon,

1,fight,8,20,42,,hit
2,fight,7,20,35,,hit
3,fight,17,9,18,,hit+counter
4,poison,2,7,18,,1 turns left
4,defend,0,7,18,,cleared 1 poison
5,fight,4,7,14,,hit
6,fight,2,7,12,,hit
7,fight,8,7,4,,hit
8,fight,14,7,0,,hit
9,end,0,7,0,player,

1,fight,18,10,32,,hit+counter
2,poison,2,8,32,,1 turns left
2,defend,0,8,32,,cleared 1 poison
3,fight,14,0,18,,hit+counter
4,end,0,0,18,Dragon,

1,fight,19,13,31,,hit+counter
2,poison,2,11,31,,1 turns left
2,defend,0,11,31,,cleared 1 poison
3,fight,0,11,31,,miss
4,fight,2,11,29,,hit
5,fight,0,11,29,,miss
6,fight,3,11,26,,hit
7,fight,18,2,8,,hit+counter
8,poison,2,0,8,,1 turns left
8,end,0,0,8,Dragon,

1,fight,3,20,47,,hit
2,fight,0,20,47,,miss
3,fight,5,20,42,,hit
4,fight,11,20,31,,hit
5,fight,6,20,25,,hit
6,fight,17,12,8,,hit+counter
7,poison,2,10,8,,1 turns left
7,defend,0,10,8,,cleared 1 poison
8,fight,0,10,8,,miss
9,fight,16,10,0,,hit
10,end,0,10,0,player,

1,fight,0,20,50,,miss
2,fight,5,20,45,,hit
3,fight,12,20,33,,hit
4,fight,15,8,18,,hit+counter
5,poison,2,6,18,,1 turns left
5,defend,0,6,18,,cleared 1 poison
6,fight,2,6,16,,hit
7,fight,7,6,9,,hit
8,fight,0,6,9,,miss
9,fight,0,6,9,,miss
10,fight,0,6,9,,miss
11,fight,13,6,0,,hit
12,end,0,6,0,player,

1,fight,0,20,50,,miss
2,fight,6,20,44,,hit
3,fight,13,8,31,,hit+counter
4,fight,18,0,13,,hit+counter
5,end,0,0,13,Dragon,

1,fight,8,20,42,,hit
2,fight,7,20,35,,hit
3,fight,2,20,33,,hit
4,fight,16,8,17,,hit+counter
5,poison,2,6,17,,1 turns left
5,defend,0,6,17,,cleared 1 poison
6,fight,0,6,17,,miss
7,fight,11,6,6,,hit
8,fight,10,6,0,,hit
9,end,0,6,0,player,

1,fight,0,20,50,,miss
2,fight,9,20,41,,hit
3,fight,7,20,34,,hit
4,fight,0,20,34,,miss
5,fight,19,12,15,,hit+counter
6,poison,2,10,15,,1 turns left
6,defend,0,10,15,,cleared 1 poison
7,fight,2,10,13,,hit
8,fight,19,10,0,,hit
9,end,0,10,0,player,

1,fight,10,20,40,,hit
2,fight,7,20,33,,hit
3,fight,17,10,16,,hit+counter
4,fight,0,10,16,,miss
5,fight,6,10,10,,hit
6,fight,0,10,10,,miss
7,fight,0,10,10,,miss
8,fight,0,10,10,,miss
9,fight,0,10,10,,miss
10,fight,0,10,10,,miss
11,fight,7,10,3,,hit
12,fight,9,10,0,,hit
13,end,0,10,0,player,

1,fight,8,20,42,,hit
2,fight,0,20,42,,miss
3,fight,0,20,42,,miss
4,fight,17,13,25,,hit+counter
5,poison,2,11,25,,1 turns left
5,defend,0,11,25,,cleared 1 poison
6,fight,0,11,25,,miss
7,fight,13,3,12,,hit+counter
8,fight,17,3,0,,hit
9,end,0,3,0,player,

1,fight,3,20,47,,hit
2,fight,0,20,47,,miss
3,fight,4,20,43,,hit
4,fight,0,20,43,,miss
5,fight,1,20,42,,hit
6,fight,7,20,35,,hit
7,fight,0,20,35,,miss
8,fight,16,8,19,,hit+counter
9,poison,2,6,19,,1 turns left
9,defend,0,6,19,,cleared 1 poison
10,fight,8,6,11,,hit
11,fight,1,6,10,,hit
12,fight,0,6,10,,miss
13,fight,16,6,0,,hit
14,end,0,6,0,player,

1,fight,0,20,50,,miss
2,fight,5,20,45,,hit
3,fight,1,20,44,,hit
4,fight,0,20,44,,miss
5,fight,0,20,44,,miss
6,fight,14,12,30,,hit+counter
7,poison,2,10,30,,1 turns left
7,defend,0,10,30,,cleared 1 poison
8,fight,0,10,30,,miss
9,fight,7,10,23,,hit
10,fight,0,10,23,,miss
11,fight,13,0,10,,hit+counter
12,end,0,0,10,Dragon,

1,fight,15,10,35,,hit+counter
2,fight,0,10,35,,miss
3,fight,19,2,16,,hit+counter
4,fight,10,2,6,,hit
5,fight,6,2,0,,hit
6,end,0,2,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,18,12,32,,hit+counter
4,fight,2,12,30,,hit
5,fight,0,12,30,,miss
6,fight,20,3,10,,hit+counter
7,poison,2,1,10,,1 turns left
7,defend,0,1,10,,cleared 1 poison
8,fight,13,1,0,,hit
9,end,0,1,0,player,

1,fight,12,20,38,,hit
2,fight,4,20,34,,hit
3,fight,2,20,32,,hit
4,fight,10,20,22,,hit
5,fight,12,20,10,,hit
6,fight,9,20,1,,hit
7,fight,1,20,0,,hit
8,end,0,20,0,player,

1,fight,9,20,41,,hit
2,fight,5,20,36,,hit
3,fight,0,20,36,,miss
4,fight,3,20,33,,hit
5,fight,0,20,33,,miss
6,fight,19,10,14,,hit+counter
7,poison,2,8,14,,1 turns left
7,defend,0,8,14,,cleared 1 poison
8,fight,1,8,13,,hit
9,fight,20,8,0,,hit
10,end,0,8,0,player,

1,fight,14,12,36,,hit+counter
2,fight,9,12,27,,hit
3,fight,0,12,27,,miss
4,fight,6,12,21,,hit
5,fight,16,3,5,,hit+counter
6,poison,2,1,5,,1 turns left
6,defend,0,1,5,,cleared 1 poison
7,fight,12,1,0,,hit
8,end,0,1,0,player,

1,fight,12,20,38,,hit
2,fight,0,20,38,,miss
3,fight,15,10,23,,hit+counter
4,fight,13,0,10,,hit+counter
5,end,0,0,10,Dragon,

1,fight,0,20,50,,miss
2,fight,8,20,42,,hit
3,fight,1,20,41,,hit
4,fight,0,20,41,,miss
5,fight,0,20,41,,miss
6,fight,0,20,41,,miss
7,fight,17,9,24,,hit+counter
8,fight,4,9,20,,hit
9,fight,0,9,20,,miss
10,fight,13,0,7,,hit+counter
11,end,0,0,7,Dragon,

1,fight,3,20,47,,hit
2,fight,0,20,47,,miss
3,fight,3,20,44,,hit
4,fight,1,20,43,,hit
5,fight,0,20,43,,miss
6,fight,12,20,31,,hit
7,fight,16,9,15,,hit+counter
8,poison,2,7,15,,1 turns left
8,defend,0,7,15,,cleared 1 poison
9,fight,14,0,1,,hit+counter
10,end,0,0,1,Dragon,

1,fight,5,20,45,,hit
2,fight,4,20,41,,hit
3,fight,15,12,26,,hit+counter
4,poison,2,10,26,,1 turns left
4,defend,0,10,26,,cleared 1 poison
5,fight,11,10,15,,hit
6,fight,0,10,15,,miss
7,fight,19,10,0,,hit
8,end,0,10,0,player,

1,fight,5,20,45,,hit
2,fight,13,9,32,,hit+counter
3,fight,19,0,13,,hit+counter
4,end,0,0,13,Dragon,

1,fight,8,20,42,,hit
2,fight,2,20,40,,hit
3,fight,0,20,40,,miss
4,fight,18,10,22,,hit+counter
5,poison,2,8,22,,1 turns left
5,defend,0,8,22,,cleared 1 poison
6,fight,14,0,8,,hit+counter
7,end,0,0,8,Dragon,

1,fight,0,20,50,,miss
2,fight,4,20,46,,hit
3,fight,15,9,31,,hit+counter
4,fight,12,9,19,,hit
5,fight,0,9,19,,miss
6,fight,0,9,19,,miss
7,fight,8,9,11,,hit
8,fight,15,9,0,,hit
9,end,0,9,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,3,20,47,,hit
5,fight,14,11,33,,hit+counter
6,poison,2,9,33,,1 turns left
6,defend,0,9,33,,cleared 1 poison
7,fight,12,9,21,,hit
8,fight,17,0,4,,hit+counter
9,end,0,0,4,Dragon,

1,fight,0,20,50,,miss
2,fight,9,20,41,,hit
3,fight,10,20,31,,hit
4,fight,0,20,31,,miss
5,fight,0,20,31,,miss
6,fight,16,11,15,,hit+counter
7,poison,2,9,15,,1 turns left
7,defend,0,9,15,,cleared 1 poison
8,fight,11,9,4,,hit
9,fight,1,9,3,,hit
10,fight,0,9,3,,miss
11,fight,0,9,3,,miss
12,fight,20,9,0,,hit
13,end,0,9,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,15,10,35,,hit+counter
4,poison,2,8,35,,1 turns left
4,defend,0,8,35,,cleared 1 poison
5,fight,7,8,28,,hit
6,fight,20,1,8,,hit+counter
7,fight,7,1,1,,hit
8,fight,0,1,1,,miss
9,fight,12,1,0,,hit
10,end,0,1,0,player,

1,fight,0,20,50,,miss
2,fight,4,20,46,,hit
3,fight,1,20,45,,hit
4,fight,4,20,41,,hit
5,fight,0,20,41,,miss
6,fight,2,20,39,,hit
7,fight,17,8,22,,hit+counter
8,poison,2,6,22,,1 turns left
8,defend,0,6,22,,cleared 1 poison
9,fight,0,6,22,,miss
10,fight,16,0,6,,hit+counter
11,end,0,0,6,Dragon,

1,fight,5,20,45,,hit
2,fight,0,20,45,,miss
3,fight,1,20,44,,hit
4,fight,16,9,28,,hit+counter
5,fight,20,0,8,,hit+counter
6,end,0,0,8,Dragon,

1,fight,9,20,41,,hit
2,fight,13,8,28,,hit+counter
3,fight,8,8,20,,hit
4,fight,20,8,0,,hit
5,end,0,8,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,18,8,32,,hit+counter
5,poison,2,6,32,,1 turns left
5,defend,0,6,32,,cleared 1 poison
6,fight,1,6,31,,hit
7,fight,0,6,31,,miss
8,fight,9,6,22,,hit
9,fight,0,6,22,,miss
10,fight,17,0,5,,hit+counter
11,end,0,0,5,Dragon,

1,fight,19,10,31,,hit+counter
2,poison,2,8,31,,1 turns left
2,defend,0,8,31,,cleared 1 poison
3,fight,20,0,11,,hit+counter
4,end,0,0,11,Dragon,

1,fight,13,13,37,,hit+counter
2,poison,2,11,37,,1 turns left
2,defend,0,11,37,,cleared 1 poison
3,fight,12,11,25,,hit
4,fight,20,4,5,,hit+counter
5,fight,0,4,5,,miss
6,fight,7,4,0,,hit
7,end,0,4,0,player,

1,fight,0,20,50,,miss
2,fight,16,11,34,,hit+counter
3,poison,2,9,34,,1 turns left
3,defend,0,9,34,,cleared 1 poison
4,fight,13,0,21,,hit+counter
5,end,0,0,21,Dragon,

1,fight,16,10,34,,hit+counter
2,poison,2,8,34,,1 turns left
2,defend,0,8,34,,cleared 1 poison
3,fight,7,8,27,,hit
4,fight,8,8,19,,hit
5,fight,3,8,16,,hit
6,fight,4,8,12,,hit
7,fight,17,8,0,,hit
8,end,0,8,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,13,10,37,,hit+counter
4,fight,6,10,31,,hit
5,fight,18,0,13,,hit+counter
6,end,0,0,13,Dragon,

1,fight,4,20,46,,hit
2,fight,0,20,46,,miss
3,fight,0,20,46,,miss
4,fight,18,9,28,,hit+counter
5,fight,4,9,24,,hit
6,fight,11,9,13,,hit
7,fight,0,9,13,,miss
8,fight,7,9,6,,hit
9,fight,1,9,5,,hit
10,fight,0,9,5,,miss
11,fight,17,9,0,,hit
12,end,0,9,0,player,

1,fight,8,20,42,,hit
2,fight,0,20,42,,miss
3,fight,6,20,36,,hit
4,fight,12,20,24,,hit
5,fight,16,8,8,,hit+counter
6,poison,2,6,8,,1 turns left
6,defend,0,6,8,,cleared 1 poison
7,fight,6,6,2,,hit
8,fight,7,6,0,,hit
9,end,0,6,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,3,20,47,,hit
4,fight,0,20,47,,miss
5,fight,0,20,47,,miss
6,fight,7,20,40,,hit
7,fight,16,13,24,,hit+counter
8,fight,13,2,11,,hit+counter
9,fight,0,2,11,,miss
10,fight,18,2,0,,hit
11,end,0,2,0,player,

1,fight,1,20,49,,hit
2,fight,15,8,34,,hit+counter
3,poison,2,6,34,,1 turns left
3,defend,0,6,34,,cleared 1 poison
4,fight,1,6,33,,hit
5,fight,16,0,17,,hit+counter
6,end,0,0,17,Dragon,

1,fight,19,10,31,,hit+counter
2,poison,2,8,31,,1 turns left
2,defend,0,8,31,,cleared 1 poison
3,fight,0,8,31,,miss
4,fight,0,8,31,,miss
5,fight,15,0,16,,hit+counter
6,end,0,0,16,Dragon,

1,fight,0,20,50,,miss
2,fight,10,20,40,,hit
3,fight,13,11,27,,hit+counter
4,poison,2,9,27,,1 turns left
4,defend,0,9,27,,cleared 1 poison
5,fight,0,9,27,,miss
6,fight,0,9,27,,miss
7,fight,10,9,17,,hit
8,fight,8,9,9,,hit
9,fight,0,9,9,,miss
10,fight,0,9,9,,miss
11,fight,20,9,0,,hit
12,end,0,9,0,player,

1,fight,10,20,40,,hit
2,fight,17,11,23,,hit+counter
3,fight,1,11,22,,hit
4,fight,20,4,2,,hit+counter
5,poison,2,2,2,,1 turns left
5,defend,0,2,2,,cleared 1 poison
6,fight,0,2,2,,miss
7,fight,11,2,0,,hit
8,end,0,2,0,player,

1,fight,14,9,36,,hit+counter
2,fight,0,9,36,,miss
3,fight,0,9,36,,miss
4,fight,6,9,30,,hit
5,fight,10,9,20,,hit
6,fight,11,9,9,,hit
7,fight,7,9,2,,hit
8,fight,11,9,0,,hit
9,end,0,9,0,player,

1,fight,0,20,50,,miss
2,fight,19,11,31,,hit+counter
3,fight,0,11,31,,miss
4,fight,17,0,14,,hit+counter
5,end,0,0,14,Dragon,

1,fight,2,20,48,,hit
2,fight,12,20,36,,hit
3,fight,16,11,20,,hit+counter
4,poison,2,9,20,,1 turns left
4,defend,0,9,20,,cleared 1 poison
5,fight,10,9,10,,hit
6,fight,13,9,0,,hit
7,end,0,9,0,player,

1,fight,9,20,41,,hit
2,fight,0,20,41,,miss
3,fight,14,11,27,,hit+counter
4,poison,2,9,27,,1 turns left
4,defend,0,9,27,,cleared 1 poison
5,fight,0,9,27,,miss
6,fight,19,0,8,,hit+counter
7,end,0,0,8,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,4,20,46,,hit
4,fight,0,20,46,,miss
5,fight,15,13,31,,hit+counter
6,fight,17,3,14,,hit+counter
7,poison,2,1,14,,1 turns left
7,defend,0,1,14,,cleared 1 poison
8,fight,5,1,9,,hit
9,fight,5,1,4,,hit
10,fight,12,1,0,,hit
11,end,0,1,0,player,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,20,13,30,,hit+counter
4,fight,0,13,30,,miss
5,fight,18,1,12,,hit+counter
6,poison,2,0,12,,1 turns left
6,end,0,0,12,Dragon,

1,fight,1,20,49,,hit
2,fight,6,20,43,,hit
3,fight,12,20,31,,hit
4,fight,13,11,18,,hit+counter
5,poison,2,9,18,,1 turns left
5,defend,0,9,18,,cleared 1 poison
6,fight,0,9,18,,miss
7,fight,19,9,0,,hit
8,end,0,9,0,player,

1,fight,5,20,45,,hit
2,fight,13,10,32,,hit+counter
3,fight,0,10,32,,miss
4,fight,14,2,18,,hit+counter
5,poison,2,0,18,,1 turns left
5,end,0,0,18,Dragon,

1,fight,0,20,50,,miss
2,fight,0,20,50,,miss
3,fight,0,20,50,,miss
4,fight,9,20,41,,hit
5,fight,0,20,41,,miss
6,fight,0,20,41,,miss
7,fight,3,20,38,,hit
8,fight,7,20,31,,hit
9,fight,0,20,31,,miss
10,fight,17,12,14,,hit+counter
11,poison,2,10,14,,1 turns left
11,defend,0,10,14,,cleared 1 poison
12,fight,0,10,14,,miss
13,fight,0,10,14,,miss
14,fight,14,10,0,,hit
15,end,0,10,0,player,

1,fight,16,9,34,,hit+counter
2,poison,2,7,34,,1 turns left
2,defend,0,7,34,,cleared 1 poison
3,fight,3,7,31,,hit
4,fight,18,0,13,,hit+counter
5,end,0,0,13,Dragon,

1,fight,12,20,38,,hit
2,fight,1,20,37,,hit
3,fight,0,20,37,,miss
4,fight,13,12,24,,hit+counter
5,poison,2,10,24,,1 turns left
5,defend,0,10,24,,cleared 1 poison
6,fight,9,10,15,,hit
7,fight,1,10,14,,hit
8,fight,2,10,12,,hit
9,fight,0,10,12,,miss
10,fight,16,10,0,,hit
11,end,0,10,0,player,

1,fight,17,10,33,,hit+counter
2,poison,2,8,33,,1 turns left
2,defend,0,8,33,,cleared 1 poison
3,fight,9,8,24,,hit
4,fight,0,8,24,,miss
5,fight,7,8,17,,hit
6,fight,0,8,17,,miss
7,fight,15,1,2,,hit+counter
8,fight,2,1,0,,hit
9,end,0,1,0,player,

1,fight,1,20,49,,hit
2,fight,1,20,48,,hit
3,fight,11,20,37,,hit
4,fight,2,20,35,,hit
5,fight,0,20,35,,miss
6,fight,1,20,34,,hit
7,fight,0,20,34,,miss
8,fight,5,20,29,,hit
9,fight,0,20,29,,miss
10,fight,3,20,26,,hit
11,fight,0,20,26,,miss
12,fight,4,20,22,,hit
13,fight,0,20,22,,miss
14,fight,14,10,8,,hit+counter
15,poison,2,8,8,,1 turns left
15,defend,0,8,8,,cleared 1 poison
16,fight,11,8,0,,hit
17,end,0,8,0,player,

1,fight,7,20,43,,hit
2,fight,4,20,39,,hit
3,fight,8,20,31,,hit
4,fight,1,20,30,,hit
5,fight,0,20,30,,miss
6,fight,4,20,26,,hit
7,fight,16,9,10,,hit+counter
8,poison,2,7,10,,1 turns left
8,defend,0,7,10,,cleared 1 poison
9,fight,13,7,0,,hit
10,end,0,7,0,player,

1,fight,18,10,32,,hit+counter
2,poison,2,8,32,,1 turns left
2,defend,0,8,32,,cleared 1 poison
3,fight,1,8,31,,hit
4,fight,17,0,14,,hit+counter
5,end,0,0,14,Dragon,

1,fight,20,8,30,,hit+counter
2,fight,13,0,17,,hit+counter
3,end,0,0,17,Dragon,

1,fight,0,20,50,,miss
2,fight,3,20,47,,hit
3,fight,2,20,45,,hit
4,fight,0,20,45,,miss
5,fight,1,20,44,,hit
6,fight,0,20,44,,miss
7,fight,14,12,30,,hit+counter
8,poison,2,10,30,,1 turns left
8,defend,0,10,30,,cleared 1 poison
9,fight,5,10,25,,hit
10,fight,5,10,20,,hit
11,fight,0,10,20,,miss
12,fight,20,10,0,,hit
13,end,0,10,0,player,

1,fight,10,20,40,,hit
2,fight,0,20,40,,miss
3,fight,13,9,27,,hit+counter
4,poison,2,7,27,,1 turns left
4,defend,0,7,27,,cleared 1 poison
5,fight,0,7,27,,miss
6,fight,13,0,14,,hit+counter
7,end,0,0,14,Dragon,

1,fight,11,20,39,,hit
2,fight,6,20,33,,hit
3,fight,0,20,33,,miss
4,fight,18,13,15,,hit+counter
5,poison,2,11,15,,1 turns left
5,defend,0,11,15,,cleared 1 poison
6,fight,1,11,14,,hit
7,fight,0,11,14,,miss
8,fight,0,11,14,,miss
9,fight,10,11,4,,hit
10,fight,3,11,1,,hit
11,fight,16,11,0,,hit
12,end,0,11,0,player,

1,fight,15,8,35,,hit+counter
2,poison,2,6,35,,1 turns left
2,defend,0,6,35,,cleared 1 poison
3,fight,3,6,32,,hit
4,fight,16,0,16,,hit+counter
5,end,0,0,16,Dragon,

1,fight,14,10,36,,hit+counter
2,fight,0,10,36,,miss
